name,solution,query,cube_length,kw_length,sql_kw_SELECT,sql_kw_DISTINCT,sql_kw_FROM,sql_kw_ON,sql_kw_WHERE,sql_kw_OVER,sql_kw_DESC,sql_kw_LIMIT,sql_kw_OR,sql_kw_NOT,sql_kw_EXISTS,sql_kw_GROUP,sql_kw_AVG,sql_kw_USER,sql_kw_TIME,sql_kw_COUNT,sql_kw_ROWS,sql_kw_UNBOUNDED,sql_kw_PRECEDING,sql_kw_INTERSECT,sql_kw_POSITION,sql_kw_RESULT,sql_kw_YEAR,sql_kw_RANGE,sql_kw_NO,sql_kw_MONTH,sql_kw_START,sql_kw_END,sql_kw_CHARACTER,sql_kw_REF,sql_kw_BY,dsl_op_summarise,dsl_op_natural_join,dsl_op_filter,dsl_op_mutate,dsl_op_inner_join,dsl_op_left_join,dsl_op_natural_join3,dsl_op_cross_join,dsl_op_anti_join,dsl_op_semi_join,dsl_op_natural_join4,dsl_op_intersect,dsl_op_union
scythe/recent_posts/011,"summarise(input0, ""concatvalue = string_agg(value, ', ')"", ""'id'""), natural_join(input0, line0)","SELECT DISTINCT `id`,
                `concatvalue` AS `value`
FROM
  (SELECT `LHS`.`id` AS `id`,
          `LHS`.`name` AS `name`,
          `LHS`.`value` AS `value`,
          `RHS`.`concatvalue` AS `concatvalue`
   FROM `df_011` AS `LHS`
   INNER JOIN
     (SELECT `id`,
             string_agg(`value`, ', ') AS concatvalue
      FROM df_011
      GROUP BY id) AS RHS ON (LHS.id = RHS.id))
ORDER BY id;",2,8,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
scythe/recent_posts/022,"summarise(input0, 'c1 = max(c1)', ""'c2'""), summarise(line0, 'n = n()', ""'c1'""), filter(line1, 'n >= 3L & n != c1')","SELECT c1 AS c3
FROM
  (SELECT c1,
          COUNT() AS n
   FROM
     (SELECT c2,
             MAX(c1) AS c1
      FROM df_022_2
      GROUP BY c2)
   GROUP BY c1)
WHERE (n >= 3
       AND n != c1)
ORDER BY c3;",3,7,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
scythe/recent_posts/040,"mutate(input0, 'n_distinct = n_distinct(action)'), limit(line0, 'desc(n_distinct)')","SELECT id,
       TIMESTAMP,
       first_name,
       last_name,
       action
FROM
  (SELECT *
   FROM
     (SELECT *
      FROM
        (SELECT id,
                TIMESTAMP,
                first_name,
                last_name,
                action,
                COUNT(DISTINCT action) OVER () AS n_distinct
         FROM df_040)
      ORDER BY n_distinct DESC)
   LIMIT 2);",1,12,4,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
scythe/recent_posts/003,"inner_join(input0, input1, ""'item' = 'f2'"")","SELECT id,
       f1 AS item
FROM
  (SELECT LHS.id AS id,
          LHS.item AS item,
          RHS.f1 AS f1
   FROM df_003_1 AS LHS
   INNER JOIN df_003_2 AS RHS ON (LHS.item = RHS.f2))
ORDER BY id;",1,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
scythe/recent_posts/045,"left_join(input0, input1), summarise(line0, 'sumquantity = sum(quantity)', ""'name'"")","SELECT name AS menuname,
       sumquantity AS quantity
FROM
  (SELECT name,
          SUM(quantity) AS sumquantity
   FROM
     (SELECT LHS.menu_id AS menu_id,
             LHS.name AS name,
             RHS.id AS id,
             RHS.quantity AS quantity
      FROM df_045_1 AS LHS
      LEFT JOIN df_045_2 AS RHS ON (LHS.menu_id = RHS.menu_id))
   GROUP BY name)
ORDER BY menuname;",2,7,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
scythe/recent_posts/005,"filter(input0, 'event_id <= 17L'), summarise(input0, 'event_id = max(event_id)', ""'prim_cid'""), natural_join3(input0, line0, line1)","SELECT g_event_id,
       prim_cid,
       event_id,
       event_time
FROM
  (SELECT LHS.g_event_id AS g_event_id,
          LHS.prim_cid AS prim_cid,
          LHS.event_id AS event_id,
          LHS.event_time AS event_time
   FROM
     (SELECT LHS.g_event_id AS g_event_id,
             LHS.prim_cid AS prim_cid,
             LHS.event_id AS event_id,
             LHS.event_time AS event_time
      FROM df_005 AS LHS
      INNER JOIN
        (SELECT *
         FROM df_005
         WHERE (event_id <= 17)) AS RHS ON (LHS.g_event_id = RHS.g_event_id
                                            AND LHS.prim_cid = RHS.prim_cid
                                            AND LHS.event_id = RHS.event_id
                                            AND LHS.event_time = RHS.event_time)) AS LHS
   INNER JOIN
     (SELECT prim_cid,
             MAX(event_id) AS event_id
      FROM df_005
      GROUP BY prim_cid) AS RHS ON (LHS.prim_cid = RHS.prim_cid
                                    AND LHS.event_id = RHS.event_id))
ORDER BY g_event_id;",3,13,5,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
scythe/recent_posts/028,"filter(input0, 'member > 1L'), cross_join(line0, input0, 'member == member.other & element != element.other'), summarise(line1, 'n = n()', ""'element','member'"")","SELECT DISTINCT member AS c1,
                n AS c2
FROM
  (SELECT element,
          member,
          COUNT() AS n
   FROM
     (SELECT *
      FROM
        (SELECT LHS.member AS member,
                LHS.element AS element,
                RHS.member AS member_other,
                RHS.element AS element_other
         FROM
           (SELECT *
            FROM df_028
            WHERE (member > 1)) AS LHS
         CROSS JOIN df_028 AS RHS)
      WHERE (member = member_other
             AND element != element_other))
   GROUP BY element,
            member)
ORDER BY c1;",3,13,5,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
scythe/recent_posts/004,"filter(input0, 'job_num == 0L & job_num != call_ref'), summarise(line0, 'call_ref = max(call_ref)', ""'id'""), cross_join(input0, line1, 'call_ref >= call_ref.other | job_num > call_ref.other')","SELECT DISTINCT call_ref,
                job_num
FROM
  (SELECT LHS.id AS id,
          LHS.call_ref AS call_ref,
          LHS.job_num AS job_num,
          RHS.id AS id_other,
          RHS.call_ref AS call_ref_other
   FROM df_004 AS LHS
   CROSS JOIN
     (SELECT id,
             MAX(call_ref) AS call_ref
      FROM df_004
      WHERE (job_num = 0
             AND job_num != call_ref)
      GROUP BY id) AS RHS)
WHERE (call_ref >= call_ref_other
       OR job_num > call_ref_other)
ORDER BY call_ref;",3,10,3,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
scythe/recent_posts/032,"summarise(input0, 'id = max(id)', ""'crit1','crit2'""), natural_join(input0, line0)","SELECT crit1,
       crit2,
       value
FROM
  (SELECT LHS.id AS id,
          LHS.crit1 AS crit1,
          LHS.crit2 AS crit2,
          LHS.value AS value
   FROM df_032 AS LHS
   INNER JOIN
     (SELECT crit1,
             crit2,
             MAX(id) AS id
      FROM df_032
      GROUP BY crit1,
               crit2) AS RHS ON (LHS.id = RHS.id
                                 AND LHS.crit1 = RHS.crit1
                                 AND LHS.crit2 = RHS.crit2))
ORDER BY crit1;",2,7,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
scythe/recent_posts/043,"cross_join(input0, input0, 'entrytime > entrytime.other & entrytime <= resulttime.other'), anti_join(input0, line0, ""'entrytime','resulttime'"")","SELECT id,
       entrytime,
       resulttime
FROM
  (SELECT *
   FROM df_043 AS LHS
   WHERE NOT EXISTS
       (SELECT 1
        FROM
          (SELECT *
           FROM
             (SELECT LHS.id AS id,
                     LHS.entrytime AS entrytime,
                     LHS.resulttime AS resulttime,
                     RHS.id AS id_other,
                     RHS.entrytime AS entrytime_other,
                     RHS.resulttime AS resulttime_other
              FROM df_043 AS LHS
              CROSS JOIN df_043 AS RHS)
           WHERE (entrytime > entrytime_other
                  AND entrytime <= resulttime_other)) AS RHS
        WHERE (LHS.entrytime = RHS.entrytime
               AND LHS.resulttime = RHS.resulttime) ))
ORDER BY id;",2,15,5,0,5,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
