name,fuzzies,base_eq,fuzzy_eq,fuzzy_neq,fuzzy_err,top_i
db2csv/battle_death/0008_dev,16,1,16,0,0,1
db2csv/battle_death/0011_dev,16,1,16,0,0,1
db2csv/battle_death/0016_dev,16,0,0,16,0,-1
db2csv/battle_death/0006_dev,16,1,16,0,0,3
db2csv/battle_death/0010_dev,16,-5,0,0,0,
db2csv/battle_death/0005_dev,16,-2,0,0,0,
db2csv/battle_death/0007_dev,16,1,16,0,0,1
db2csv/battle_death/0015_dev,16,-12,0,0,0,-1
db2csv/battle_death/0012_dev,16,-2,0,0,0,
db2csv/battle_death/0013_dev,16,0,0,16,0,-1
db2csv/battle_death/0002_dev,16,-2,0,0,0,
db2csv/battle_death/0009_dev,16,1,16,0,0,1
db2csv/battle_death/0001_dev,16,1,16,0,0,1
db2csv/battle_death/0014_dev,16,-5,0,0,0,
db2csv/battle_death/0003_dev,16,-2,0,0,0,
db2csv/battle_death/0004_dev,16,-2,0,0,0,
db2csv/car_1/0063_dev,16,1,16,0,0,1
db2csv/car_1/0067_dev,16,1,6,10,0,-1
db2csv/car_1/0064_dev,16,-12,0,0,0,-1
db2csv/car_1/0025_dev,16,0,1,15,0,-1
db2csv/car_1/0047_dev,16,-2,0,0,0,
db2csv/car_1/0008_dev,16,-2,0,0,0,
db2csv/car_1/0078_dev,16,1,16,0,0,1
db2csv/car_1/0031_dev,16,1,16,0,0,1
db2csv/car_1/0019_dev,16,-2,0,0,0,
db2csv/car_1/0069_dev,16,-5,0,0,0,
db2csv/car_1/0061_dev,16,1,16,0,0,1
db2csv/car_1/0028_dev,16,1,16,0,0,2
db2csv/car_1/0066_dev,16,1,16,0,0,1
db2csv/car_1/0035_dev,16,-2,0,0,0,
db2csv/car_1/0043_dev,16,0,2,14,0,-1
db2csv/car_1/0084_dev,16,-5,0,0,0,
db2csv/car_1/0041_dev,16,-2,0,0,0,
db2csv/car_1/0030_dev,16,0,7,9,0,-1
db2csv/car_1/0033_dev,16,0,4,12,0,-1
db2csv/car_1/0077_dev,16,1,16,0,0,1
db2csv/car_1/0022_dev,16,-2,0,0,0,
db2csv/car_1/0083_dev,16,-5,0,0,0,
db2csv/car_1/0026_dev,16,0,1,15,0,-1
db2csv/car_1/0050_dev,16,1,16,0,0,1
db2csv/car_1/0023_dev,16,-2,0,0,0,
db2csv/car_1/0029_dev,16,1,16,0,0,2
db2csv/car_1/0032_dev,16,1,16,0,0,1
db2csv/car_1/0055_dev,16,-2,0,0,0,
db2csv/car_1/0053_dev,16,-2,0,0,0,
db2csv/car_1/0092_dev,16,0,3,13,0,-1
db2csv/car_1/0006_dev,16,-2,0,0,0,
db2csv/car_1/0010_dev,16,-2,0,0,0,
db2csv/car_1/0074_dev,16,-2,0,0,0,
db2csv/car_1/0085_dev,16,1,16,0,0,2
db2csv/car_1/0054_dev,16,-2,0,0,0,
db2csv/car_1/0037_dev,16,0,0,16,0,-1
db2csv/car_1/0040_dev,16,1,16,0,0,1
db2csv/car_1/0086_dev,16,1,16,0,0,2
db2csv/car_1/0027_dev,16,1,16,0,0,1
db2csv/car_1/0020_dev,16,-2,0,0,0,
db2csv/car_1/0087_dev,16,-2,0,0,0,
db2csv/car_1/0044_dev,16,0,0,16,0,-1
db2csv/car_1/0005_dev,16,-2,0,0,0,
db2csv/car_1/0007_dev,16,-2,0,0,0,
db2csv/car_1/0056_dev,16,-2,0,0,0,
db2csv/car_1/0015_dev,16,-2,0,0,0,
db2csv/car_1/0045_dev,16,-5,0,0,0,
db2csv/car_1/0012_dev,16,-2,0,0,0,
db2csv/car_1/0076_dev,16,1,16,0,0,2
db2csv/car_1/0060_dev,16,1,16,0,0,1
db2csv/car_1/0088_dev,16,-2,0,0,0,
db2csv/car_1/0065_dev,16,1,16,0,0,1
db2csv/car_1/0038_dev,16,1,16,0,0,4
db2csv/car_1/0075_dev,16,-2,0,0,0,
db2csv/car_1/0068_dev,16,1,0,16,0,-1
db2csv/car_1/0090_dev,16,0,0,16,0,-1
db2csv/car_1/0036_dev,16,-2,0,0,0,
db2csv/car_1/0072_dev,16,0,3,13,0,-1
db2csv/car_1/0091_dev,16,0,3,13,0,-1
db2csv/car_1/0089_dev,16,0,6,10,0,-1
db2csv/car_1/0039_dev,16,1,16,0,0,1
db2csv/car_1/0052_dev,16,-12,0,0,0,-1
db2csv/car_1/0013_dev,16,0,9,7,0,-1
db2csv/car_1/0002_dev,16,-2,0,0,0,
db2csv/car_1/0009_dev,16,-2,0,0,0,
db2csv/car_1/0001_dev,16,-2,0,0,0,
db2csv/car_1/0017_dev,16,1,16,0,0,1
db2csv/car_1/0051_dev,16,0,3,13,0,-1
db2csv/car_1/0042_dev,16,-2,0,0,0,
db2csv/car_1/0057_dev,16,1,16,0,0,1
db2csv/car_1/0079_dev,16,-12,0,0,0,
db2csv/car_1/0034_dev,16,0,4,12,0,-1
db2csv/car_1/0070_dev,16,-5,0,0,0,
db2csv/car_1/0058_dev,16,1,16,0,0,1
db2csv/car_1/0049_dev,16,1,16,0,0,1
db2csv/car_1/0014_dev,16,1,16,0,0,1
db2csv/car_1/0048_dev,16,-2,0,0,0,
db2csv/car_1/0003_dev,16,-2,0,0,0,
db2csv/car_1/0018_dev,16,1,16,0,0,1
db2csv/car_1/0059_dev,16,1,16,0,0,1
db2csv/car_1/0004_dev,16,-2,0,0,0,
db2csv/car_1/0071_dev,16,0,3,13,0,-1
db2csv/car_1/0046_dev,16,-5,0,0,0,
db2csv/car_1/0021_dev,16,-2,0,0,0,
db2csv/car_1/0024_dev,16,-2,0,0,0,
db2csv/car_1/0080_dev,16,1,16,0,0,2
db2csv/car_1/0062_dev,16,1,16,0,0,1
db2csv/car_1/0073_dev,16,-2,0,0,0,
db2csv/concert_singer/0025_dev,16,1,16,0,0,2
db2csv/concert_singer/0008_dev,16,-5,0,0,0,
db2csv/concert_singer/0011_dev,16,-2,0,0,0,
db2csv/concert_singer/0031_dev,16,1,16,0,0,1
db2csv/concert_singer/0019_dev,16,-2,0,0,0,
db2csv/concert_singer/0028_dev,16,-5,0,0,0,
db2csv/concert_singer/0035_dev,16,-2,0,0,0,
db2csv/concert_singer/0043_dev,16,1,16,0,0,1
db2csv/concert_singer/0041_dev,16,-12,0,0,0,
