name,timeout,real,cpu,ram,process,status
55-tests/24,False,4.61145,3.89347,271464,0,0
55-tests/12,False,4.59581,3.6673,245248,0,2
55-tests/20,False,4.63362,4.0156,268936,0,0
55-tests/8,False,5.33611,4.1341,283476,0,0
55-tests/23,False,7.21729,6.29048,289216,0,0
55-tests/35,False,9.18019,8.83155,297748,0,0
55-tests/10,False,9.71663,8.96389,303168,0,2
55-tests/21,False,5.84235,8.42792,269140,0,0
55-tests/29,False,6.09161,11.0963,265052,0,0
55-tests/37,False,3.51291,8.61367,270688,0,0
55-tests/3,False,10.4834,14.7493,298252,0,0
55-tests/39,False,6.12142,11.1932,304588,0,0
55-tests/55,False,9.26379,12.3462,279384,0,0
55-tests/1,False,29.197,28.1983,268520,0,0
55-tests/36,False,20.7925,24.4893,271716,0,0
55-tests/14,False,34.1138,32.1559,303420,0,2
55-tests/54,False,6.21505,11.7115,288736,0,2
55-tests/7,False,2.91458,7.8081,259704,0,0
55-tests/44,False,40.1553,37.4095,297804,0,0
55-tests/11,False,10.4382,15.2225,326452,0,0
55-tests/5,False,14.4968,19.5422,277200,0,2
55-tests/48,False,4.32867,9.07937,300232,0,0
55-tests/28,False,9.14363,14.0534,319684,0,0
55-tests/4,False,68.6539,65.6956,295972,0,0
55-tests/13,False,2.77248,7.59135,310260,0,0
55-tests/51,False,115.211,120.026,288100,0,0
55-tests/18,False,151.465,151.844,291660,0,0
55-tests/26,False,8.84759,13.912,315132,0,0
55-tests/6,False,247.55,250.337,298088,0,0
55-tests/42,False,5.71813,9.86297,326976,0,0
55-tests/2,False,22.5821,27.4976,323432,0,0
55-tests/41,False,8.66081,13.2989,274636,0,0
55-tests/30,False,348.444,348.992,338828,0,0
55-tests/45,False,203.776,208.248,314552,0,0
55-tests/40,False,376.514,373.327,314128,0,0
55-tests/19,False,3.52328,8.25376,298004,0,0
55-tests/15,False,8.24208,13.009,306216,0,2
55-tests/31,False,19.9549,24.6669,306900,0,0
55-tests/32,False,390.6,394.843,321256,0,0
55-tests/50,False,9.58423,13.6027,305072,0,0
55-tests/27,True,600.016,595.98,316808,,
55-tests/16,True,600.017,595.504,305920,,
55-tests/46,True,600.017,596.164,333744,,
55-tests/43,True,600.036,596.611,299812,,
55-tests/52,True,600.021,602.472,303168,,
55-tests/38,True,600.02,603.221,341192,,
55-tests/53,True,600.018,603.278,310380,,
55-tests/25,True,600.015,605.197,344936,,
55-tests/49,False,275.17,278.901,292896,0,0
55-tests/47,True,600.016,605.679,321256,,
55-tests/33,True,600.034,604.176,286448,,
55-tests/34,True,600.041,604.243,307204,,
55-tests/17,True,600.039,604.723,320412,,
55-tests/22,True,600.038,605.158,335816,,
55-tests/9,True,600.044,605.165,355692,,
