name,timeout,real,cpu,ram,process,status
55-tests/20,False,9.62124,9.44095,400620,0,0
55-tests/24,False,10.2217,9.12684,403324,0,0
55-tests/12,False,10.3496,9.42394,390128,0,2
55-tests/8,False,10.2865,9.4468,396488,0,0
55-tests/23,False,11.3389,10.894,395948,0,0
55-tests/10,False,12.3503,11.2179,385392,0,2
55-tests/14,False,12.5961,11.3972,388740,0,2
55-tests/1,False,15.2424,14.0415,400740,0,0
55-tests/44,False,18.0419,16.8058,382024,0,0
55-tests/21,False,9.1337,13.7676,389636,0,0
55-tests/37,False,8.21109,10.672,380252,0,0
55-tests/35,False,22.5471,20.9783,396568,0,0
55-tests/3,False,17.2182,18.8748,390920,0,0
55-tests/39,False,10.0994,14.8303,425700,0,0
55-tests/36,False,18.0673,20.6412,429208,0,0
55-tests/40,False,45.1908,43.746,395156,0,0
55-tests/4,False,47.7386,46.8167,409664,0,0
55-tests/11,False,5.46025,10.1531,409048,0,0
55-tests/52,False,43.9493,44.7075,393112,0,0
55-tests/7,False,6.66362,11.0822,419312,0,0
55-tests/6,False,46.3626,49.7699,424692,0,0
55-tests/5,False,19.0212,23.5067,427596,0,2
55-tests/48,False,11.8658,16.2974,417136,0,0
55-tests/54,False,48.2627,51.1291,410588,0,0
55-tests/28,False,14.3674,18.875,411372,0,0
55-tests/13,False,5.33563,9.81983,425508,0,0
55-tests/51,False,50.2285,53.9142,392104,0,0
55-tests/30,False,96.2684,100.02,419420,0,0
55-tests/45,False,10.4997,14.9746,423052,0,0
55-tests/29,False,119.834,129.98,446504,0,0
55-tests/55,False,129.479,188.924,419328,0,0
55-tests/32,False,93.9795,97.2623,426728,0,0
55-tests/42,False,27.9509,33.6111,407928,0,0
55-tests/26,False,134.844,195.628,408748,0,0
55-tests/41,False,340.667,405.553,446136,0,0
55-tests/19,False,10.8073,14.163,388104,0,0
55-tests/15,False,29.0115,33.934,402076,0,2
55-tests/31,False,12.0589,16.8661,425612,0,0
55-tests/17,False,411.078,414.861,483412,0,0
55-tests/50,False,14.6072,19.3834,406512,0,0
55-tests/18,False,583.888,583.232,476688,0,0
55-tests/27,True,600.028,596.757,427364,,
55-tests/46,True,600.028,609.171,445556,,
55-tests/43,True,600.026,598.857,434852,,
55-tests/16,True,600.024,597.49,445724,,
55-tests/38,True,600.031,604.617,459108,,
55-tests/53,True,600.021,602.912,465324,,
55-tests/25,True,600.021,668.258,437160,,
55-tests/47,True,600.021,648.591,610792,,
55-tests/33,True,600.054,604.772,437676,,
55-tests/34,True,600.019,604.583,452188,,
55-tests/2,True,600.022,605.444,437656,,
55-tests/49,True,600.026,604.451,477536,,
55-tests/22,True,600.025,603.597,466336,,
55-tests/9,True,600.074,604.967,465632,,
