name,timeout,real,cpu,ram,status
55-tests/12,False,3.45993,3.33086,123232,1
55-tests/24,False,3.95235,3.86648,264272,0
55-tests/20,False,3.92368,4.10601,123180,0
55-tests/23,False,4.43736,4.47727,259812,0
55-tests/8,False,5.42116,5.71087,261152,0
55-tests/10,False,6.43599,6.36274,259984,1
55-tests/21,False,5.16832,9.95788,279104,0
55-tests/44,False,12.5234,11.7918,280820,0
55-tests/37,False,3.72714,9.02003,291804,0
55-tests/1,False,15.5753,14.6097,270808,0
55-tests/14,False,19.9209,18.9701,268852,1
55-tests/39,False,3.39132,8.83035,263712,0
55-tests/29,False,23.1029,27.3886,284924,0
55-tests/3,False,32.7594,35.9535,277804,0
55-tests/36,False,33.5157,37.9063,325484,0
55-tests/35,False,78.5193,77.7023,266248,0
55-tests/11,False,12.5954,16.9901,258720,0
55-tests/7,False,3.17308,8.20147,259428,0
55-tests/5,False,21.4698,26.7751,287180,1
55-tests/55,False,107.014,108.649,272780,0
55-tests/53,False,150.506,155.187,312820,0
55-tests/48,False,53.8144,57.6523,310108,0
55-tests/40,False,238.349,237.231,313920,0
55-tests/28,False,18.3517,22.7612,312668,0
55-tests/13,False,2.98653,7.68904,292612,0
55-tests/30,False,246.238,250.687,319832,0
55-tests/27,False,270.194,267.811,291428,0
55-tests/51,False,182.023,186.379,308004,0
55-tests/45,False,17.0265,21.3304,315376,0
55-tests/32,False,245.294,249.623,320156,0
55-tests/26,False,108.398,112.738,304848,0
55-tests/54,False,363.965,368.306,287928,1
55-tests/41,False,35.422,40.0703,288376,0
55-tests/17,False,30.8623,34.9514,308168,0
55-tests/52,False,449.774,449.687,344816,0
55-tests/19,False,3.73765,7.80916,304604,0
55-tests/42,False,239.136,242.934,313936,0
55-tests/31,False,7.39556,11.8554,281664,0
55-tests/18,False,580.471,581.085,307700,0
55-tests/50,False,20.9301,25.3402,279544,0
55-tests/49,False,207.49,211.545,316976,0
55-tests/16,True,900.018,897.164,318028,
55-tests/4,True,900.015,898.035,324560,
55-tests/43,True,900.02,898.072,311388,
55-tests/46,True,900.019,897.011,311608,
55-tests/6,True,900.015,901.01,353872,
55-tests/38,True,900.015,904.139,374800,
55-tests/25,True,900.028,904.015,348640,
55-tests/15,False,525.985,530.267,317104,1
55-tests/2,False,629.554,633.603,329644,0
55-tests/47,True,900.039,904.499,336524,
55-tests/33,True,900.032,904.552,330128,
55-tests/34,True,900.037,904.221,375568,
55-tests/22,True,900.04,905.122,370128,
55-tests/9,True,900.05,904.948,390748,
