name,timeout,real,cpu,ram,status
scythe/dev_set/032,False,1.22252,9.05572,653508,0
scythe/dev_set/054,False,142.743,205.649,6881988,0
scythe/dev_set/060,False,22.2508,45.0319,1909800,0
scythe/dev_set/017,False,2.64803,8.64213,751040,0
scythe/dev_set/057,False,13.0257,29.3462,1765112,0
scythe/dev_set/068,False,2.83499,10.2643,1411984,0
scythe/dev_set/031,False,4.26681,19.1986,1298544,0
scythe/dev_set/005,False,9.92873,24.3159,1372396,0
scythe/dev_set/modified_cases,False,0.0919211,0.166257,0,1
scythe/dev_set/034,False,14.4135,32.9304,1932536,0
scythe/dev_set/047,False,4.41301,14.8394,1319208,0
scythe/dev_set/003,False,32.9758,62.232,2145808,0
scythe/dev_set/051,False,22.7436,44.6481,1716412,0
scythe/dev_set/052,False,332.089,390.814,3245492,0
scythe/dev_set/041,False,2.44779,11.1706,778140,0
scythe/dev_set/011,False,0.592768,2.93752,152560,0
scythe/dev_set/001,False,27.7188,52.0887,1487016,0
scythe/dev_set/053,False,1.31926,6.62378,734976,0
scythe/dev_set/043,False,0.974879,5.04171,539776,0
scythe/dev_set/037,False,2.45771,11.1262,768640,0
scythe/dev_set/023,False,0.545493,2.81897,147456,0
scythe/dev_set/019,False,7.40449,26.4663,1534396,0
scythe/dev_set/045,False,104.421,152.132,2925668,0
scythe/dev_set/022,False,0.784589,4.30538,279960,0
scythe/dev_set/065,False,166.335,216.55,4832680,0
scythe/dev_set/058,False,2.07393,10.0825,756044,0
scythe/dev_set/033,False,3.32925,12.9686,1109348,0
scythe/dev_set/006,False,7.99505,26.2536,1810572,0
scythe/dev_set/016,False,0.745386,4.46568,356640,0
scythe/dev_set/048,False,2.46281,12.4685,1137812,0
scythe/dev_set/040,False,0.582586,3.19738,204860,0
scythe/dev_set/056,False,2.9578,12.0187,1131624,0
scythe/dev_set/046,False,14.5353,31.13,1520288,0
scythe/dev_set/024,False,0.638995,3.11355,192232,0
scythe/dev_set/013,True,600.058,748.723,3355492,143
scythe/dev_set/014,False,1.5422,8.9375,763240,0
scythe/dev_set/025,False,1.42092,6.5247,722180,0
scythe/dev_set/008,False,0.630082,3.55014,176612,0
scythe/dev_set/004,False,0.707497,3.67215,239272,0
scythe/dev_set/027,False,0.733645,3.84287,283252,0
scythe/dev_set/067,True,602.079,3476.52,11933684,
scythe/dev_set/036,False,1.65868,7.61457,731500,0
scythe/dev_set/030,False,0.946219,6.0352,538584,0
scythe/dev_set/026,False,2.55721,10.0292,890752,0
scythe/dev_set/059,False,1.38171,8.56622,721480,0
scythe/dev_set/063,False,2.06077,9.65327,739068,0
scythe/dev_set/039,False,171.106,236.016,7878908,0
scythe/dev_set/038,False,3.5879,17.1088,1077448,0
