name,timeout,real,cpu,ram,status
55-tests/12,False,3.62782,4.55347,178880,1
55-tests/37,False,6.07456,6.41877,167952,0
55-tests/23,False,6.52687,7.52624,167536,0
55-tests/20,False,3.78066,8.44518,177112,0
55-tests/11,False,10.7762,11.0203,166396,0
55-tests/5,False,11.2523,13.2523,164916,1
55-tests/10,False,6.71173,11.3506,176848,1
55-tests/7,False,2.78077,7.19779,179876,0
55-tests/14,False,31.654,37.0436,189012,1
55-tests/36,False,19.4633,24.4491,186492,0
55-tests/48,False,77.6353,78.8525,167772,0
55-tests/19,False,3.07256,7.96139,169732,0
55-tests/13,False,2.77296,7.29213,185132,0
55-tests/4,False,78.5571,83.4957,195936,0
55-tests/2,False,23.5389,28.7488,180736,0
55-tests/51,False,119.054,123.292,186616,0
55-tests/55,False,197.662,197.638,179716,0
55-tests/26,False,199.32,203.96,194120,0
55-tests/6,False,255.693,255.834,174012,0
55-tests/21,False,10.6916,15.8069,182816,0
55-tests/29,False,75.6609,80.3106,184388,0
55-tests/30,False,346.701,346.772,182040,0
55-tests/41,False,133.961,138.645,188696,0
55-tests/1,False,28.7059,33.728,186400,0
55-tests/28,False,10.2001,15.0691,197876,0
55-tests/40,False,391.479,395.629,211544,0
55-tests/50,False,9.9515,14.1049,181820,0
55-tests/3,False,182.34,186.586,182772,1
55-tests/25,True,600.03,600.051,222300,
55-tests/46,True,600.028,599.361,211856,
55-tests/43,True,600.024,598.874,193624,
55-tests/16,True,600.027,599.252,189932,
55-tests/52,True,600.032,599.672,193612,
55-tests/34,True,600.033,599.361,202544,
55-tests/9,True,600.032,600.415,212704,
55-tests/24,False,3.58822,5.85395,160364,0
55-tests/39,False,5.96014,6.69683,180988,0
55-tests/8,False,3.02814,8.05936,191476,0
55-tests/15,False,9.18432,10.1124,169988,1
55-tests/17,True,600.035,603.887,227232,
55-tests/35,False,8.05458,12.9276,183276,0
55-tests/31,False,21.662,26.1611,190344,0
55-tests/44,False,37.7304,38.6199,170176,0
55-tests/49,True,600.043,603.794,223364,
55-tests/47,True,600.063,605.526,218976,
55-tests/38,True,600.023,603.161,216916,
55-tests/42,False,266.012,270.631,187212,0
55-tests/22,True,600.021,603.914,240640,
55-tests/32,False,392.525,396.952,214640,0
55-tests/33,True,600.042,604.365,206924,
55-tests/45,True,600.024,604.345,219488,
55-tests/54,True,600.033,600.781,211284,
55-tests/53,True,600.032,600.677,226228,
55-tests/27,True,600.029,600.962,215460,
55-tests/18,True,600.055,604.771,241304,
