name,timeout,real,cpu,ram,process,status
55-tests/12,False,9.60133,27.7538,922448,1,2
55-tests/24,False,9.60121,28.6646,983860,0,0
55-tests/1,False,14.9276,48.6021,967740,2,0
55-tests/14,False,10.5592,37.6803,1066960,0,2
55-tests/23,False,11.4157,41.2359,1007224,0,0
55-tests/40,False,45.8111,179.467,1055756,1,0
55-tests/4,False,45.2659,175.849,982400,1,0
55-tests/20,False,11.0381,33.7814,1025684,1,0
55-tests/8,False,9.54325,33.3268,939192,1,0
55-tests/44,False,14.7688,52.4754,1019468,3,0
55-tests/35,False,16.3169,61.6548,991704,3,0
55-tests/10,False,15.6396,56.6239,993668,2,2
55-tests/21,False,8.84939,31.1043,966540,0,0
55-tests/18,False,141.052,560.46,1082408,3,0
55-tests/52,False,34.2411,126.637,1079012,3,0
55-tests/3,False,16.3451,62.9419,1009712,1,0
55-tests/29,False,117.285,527.381,1056924,2,0
55-tests/36,False,15.0855,49.0775,970732,3,0
55-tests/37,False,8.53393,29.6669,1020316,1,0
55-tests/6,False,45.7326,179.786,978716,2,0
55-tests/43,True,600.03,2392.2,1153860,,
55-tests/46,True,600.04,2499.05,1190808,,
55-tests/27,True,600.044,2392.99,1183604,,
55-tests/39,False,12.1109,39.1523,933276,1,0
55-tests/55,False,123.189,732.027,1110688,2,0
55-tests/54,False,41.4491,162.037,970832,0,0
55-tests/30,False,66.6535,256.603,987500,3,0
55-tests/11,False,6.20397,18.7138,979680,3,0
55-tests/7,False,6.7395,23.3431,954036,0,0
55-tests/16,True,600.044,2395.6,1204240,,
55-tests/5,False,15.5581,57.9166,1040532,3,2
55-tests/53,False,129.935,514.393,1085128,3,0
55-tests/51,False,50.231,197.426,1030928,1,0
55-tests/48,False,13.9645,48.0759,1056256,3,0
55-tests/28,False,13.7224,49.6717,988044,0,0
55-tests/13,False,5.59397,17.8318,963856,0,0
55-tests/32,False,93.6665,372.196,1069036,0,0
55-tests/25,False,332.478,1600.86,1204596,0,0
55-tests/26,False,78.4727,451.187,1080612,1,0
55-tests/45,False,12.9248,42.028,921548,0,0
55-tests/33,False,331.33,1319.64,1108112,3,2
55-tests/42,False,29.4339,117.624,1015652,0,0
55-tests/38,True,600.047,2398.58,1188656,,
55-tests/2,False,122.753,491.924,1129360,3,0
55-tests/41,False,162.967,844.179,1040932,0,0
55-tests/47,True,600.079,2545.93,1770696,,
55-tests/19,False,10.121,31.7811,1074696,3,0
55-tests/15,False,11.2144,40.9129,1019772,3,2
55-tests/31,False,10.8889,40.2564,1006856,3,0
55-tests/34,True,600.081,2394.84,1132232,,
55-tests/50,False,13.3058,51.9149,962720,2,0
55-tests/17,False,390.265,1548.07,1193468,1,0
55-tests/49,True,600.043,2396.7,1254284,,
55-tests/22,True,600.048,2392.03,1228128,,
55-tests/9,True,600.075,2398.93,1259232,,
