name,timeout,real,cpu,ram,status
55-tests/20,False,3.75265,6.92308,545888,0
55-tests/44,False,4.24819,9.03455,640572,0
55-tests/12,False,4.36523,8.1511,521188,1
55-tests/8,False,3.71825,11.5665,544644,0
55-tests/24,False,3.4538,12.0467,510420,0
55-tests/35,False,7.99814,25.1981,652656,0
55-tests/21,False,4.7776,15.7572,639692,0
55-tests/14,False,43.7551,75.0579,509412,1
55-tests/23,False,5.12164,15.7391,517124,0
55-tests/29,False,7.79548,24.0976,537176,0
55-tests/36,False,4.06957,13.209,535524,0
55-tests/37,False,4.24294,13.0725,648532,0
55-tests/6,False,17.7059,53.4377,570312,0
55-tests/55,False,9.24834,28.2879,557588,0
55-tests/30,False,15.5978,47.5505,619192,0
55-tests/39,False,5.16789,15.5542,517220,0
55-tests/40,False,118.863,350.313,645460,0
55-tests/4,False,6.14899,18.5804,575308,0
55-tests/52,False,178.6,534.68,691132,0
55-tests/3,False,14.4796,41.9105,624852,0
55-tests/18,False,418.514,1254.2,756156,0
55-tests/7,False,4.11088,10.4023,493084,0
55-tests/5,False,19.8779,46.3239,584440,1
55-tests/51,False,181.562,544.47,662924,0
55-tests/32,False,5.95999,15.8702,502256,0
55-tests/48,False,5.25905,15.8613,559500,0
55-tests/28,False,5.20155,15.9228,554672,0
55-tests/53,False,570.989,1710.96,741652,0
55-tests/54,False,48.7261,97.9321,644376,1
55-tests/43,True,900.024,2691.33,755292,
55-tests/46,True,900.023,2692.56,785120,
55-tests/1,False,6.15418,15.7064,525528,0
55-tests/16,True,900.04,2697.25,745720,
55-tests/26,False,9.33964,28.0843,628096,0
55-tests/10,False,11.2575,27.4106,594964,1
55-tests/42,False,7.23992,21.3526,633048,0
55-tests/45,False,10.8724,32.2657,637704,0
55-tests/41,False,8.34853,26.2724,558528,0
55-tests/2,False,27.0136,80.5268,584596,0
55-tests/27,False,93.5194,277.119,593076,0
55-tests/19,False,4.50496,11.9256,571816,0
55-tests/38,True,900.038,2695.55,778904,
55-tests/31,False,3.7358,12.5144,500652,0
55-tests/15,False,21.7874,39.963,551152,1
55-tests/50,False,4.91349,15.6473,585620,0
55-tests/25,True,900.037,2699.67,767780,
55-tests/11,False,6.14107,17.1957,563296,0
55-tests/49,False,411.224,1232.6,659540,0
55-tests/47,True,900.036,2702.0,714324,
55-tests/13,False,3.70927,9.79736,641596,0
55-tests/33,True,900.037,2696.79,694160,
55-tests/17,False,778.685,2334.23,805128,0
55-tests/9,True,900.04,2701.61,872256,
55-tests/22,True,900.043,2701.1,839448,
55-tests/34,True,900.061,2701.38,881856,
