name,timeout,real,cpu,ram,process,status
55-tests/1,False,5.4117,14.3422,962056,4,0
55-tests/12,False,2.94071,13.8081,1067508,2,2
55-tests/24,False,2.64271,13.9566,1049220,3,0
55-tests/46,True,600.041,3583.89,1403472,,
55-tests/43,True,600.04,3600.19,1275228,,
55-tests/14,False,3.07247,17.1288,1027592,5,2
55-tests/23,False,2.62911,14.1138,936536,4,0
55-tests/27,False,51.7139,304.778,1104660,3,0
55-tests/4,False,4.6289,23.1462,943892,5,0
55-tests/20,False,2.54549,13.6349,708708,1,0
55-tests/8,False,2.63808,14.5218,892756,4,0
55-tests/44,False,3.67787,20.433,1048772,5,0
55-tests/35,False,7.10653,41.323,1163092,0,0
55-tests/40,False,113.734,462.445,859884,4,0
55-tests/10,False,3.74397,16.9819,997472,4,2
55-tests/21,False,2.60683,13.9415,919884,4,0
55-tests/18,False,73.6837,440.368,1211552,5,0
55-tests/52,False,9.61048,52.8984,1191804,1,0
55-tests/3,False,8.5604,50.0839,998448,0,0
55-tests/29,False,5.05413,28.5682,1135836,4,0
55-tests/36,False,3.08422,17.0369,859244,5,0
55-tests/37,False,2.53947,13.7776,942704,1,0
55-tests/6,False,10.0266,58.9685,948280,4,0
55-tests/55,False,5.55996,31.754,991436,4,0
55-tests/30,False,4.06754,22.6674,1129324,4,0
55-tests/39,False,2.51953,14.0654,1058848,4,0
55-tests/16,True,600.038,3600.03,1274780,,
55-tests/53,False,93.0001,552.393,1176184,3,0
55-tests/54,False,6.38141,32.8466,1030036,0,2
55-tests/38,True,600.032,2408.78,1078260,,
55-tests/11,False,5.69504,29.2183,1122720,5,0
55-tests/7,False,2.58027,12.3177,433344,5,0
55-tests/5,False,3.56297,20.0308,979856,4,2
55-tests/51,False,98.667,590.763,1044608,2,0
55-tests/32,False,4.14322,19.8344,1057104,5,0
55-tests/48,False,3.60342,20.2061,862980,0,0
55-tests/28,False,3.63063,19.7799,1075836,5,0
55-tests/47,False,94.2668,564.745,1231680,4,0
55-tests/13,False,3.21776,11.8465,988920,3,0
55-tests/25,True,600.037,3600.9,1485760,,
55-tests/33,True,600.035,3599.95,1353684,,
55-tests/26,False,6.32176,32.2302,1180524,4,0
55-tests/45,False,3.57309,19.8231,1056844,4,0
55-tests/42,False,4.05418,22.7078,980800,1,0
55-tests/2,False,21.0739,125.406,1255616,0,0
55-tests/41,False,6.08272,34.6782,1177032,4,0
55-tests/17,False,58.186,347.204,1217668,3,0
55-tests/49,False,71.2538,422.438,1021716,4,0
55-tests/34,True,600.045,3595.98,1200032,,
55-tests/19,False,3.34717,14.0655,371056,4,0
55-tests/15,False,7.60968,44.2107,1133264,0,2
55-tests/31,False,3.04365,17.106,1013988,5,0
55-tests/22,True,600.038,2405.97,1202176,,
55-tests/50,False,4.25702,20.1152,1083540,5,0
55-tests/9,True,600.045,3600.97,1321528,,
