name,loc,sql_size,sql_length,sql_hardness,tables,total_cols,unique_cols,total_rows,total_cells,total_bytes,input_cols,unique_input_cols,input_rows,input_cells,input_bytes,output_cols,output_rows,output_cells,output_bytes
kaggle/1_2_T_1,1,12,56,easy,1,12,11,6,46,450,11,11,4,44,434,1,2,2,16
kaggle/1_2_T_2,1,15,65,medium,1,13,11,6,48,464,11,11,4,44,434,2,2,4,30
kaggle/1_2_T_3,1,12,53,easy,1,22,11,6,66,707,11,11,4,44,434,11,2,22,273
kaggle/1_2_T_4,1,18,77,,1,16,14,12,108,1204,14,14,7,98,977,2,5,10,227
kaggle/1_2_X_1,1,12,59,easy,1,12,11,12,92,835,11,11,8,88,816,1,4,4,19
kaggle/1_2_X_2,1,12,68,easy,1,12,11,10,90,829,11,11,8,88,816,1,2,2,13
kaggle/1_2_X_3,1,12,50,easy,1,22,11,13,143,1342,11,11,10,110,987,11,3,33,355
kaggle/1_3_T_1,1,21,76,medium,1,12,10,15,142,1444,10,10,14,140,1422,2,1,2,22
kaggle/1_3_T_2,1,21,86,,1,12,10,15,142,1447,10,10,14,140,1422,2,1,2,25
kaggle/1_3_X_1,1,21,88,,1,12,10,15,142,1389,10,10,14,140,1368,2,1,2,21
kaggle/1_3_X_2,2,18,73,,1,11,10,15,141,1453,10,10,14,140,1434,1,1,1,19
kaggle/1_4_T_1,2,21,190,,1,72,70,16,712,6856,70,70,10,700,6807,2,6,12,49
kaggle/1_4_X_1,2,35,216,,1,8,6,10,52,724,6,6,8,48,652,2,2,4,72
kaggle/1_4_X_2,2,34,166,,1,8,6,20,112,1358,6,6,18,108,1307,2,2,4,51
kaggle/1_5_T_1,1,25,171,,1,19,17,9,93,2848,17,17,5,85,2773,2,4,8,75
kaggle/1_5_X_1,1,21,152,,1,25,23,5,73,1162,23,23,3,69,1134,2,2,4,28
kaggle/1_5_X_2,1,32,212,,1,25,23,7,119,1697,23,23,5,115,1674,2,2,4,23
kaggle/1_5_X_3,1,74,445,,1,26,23,8,144,2065,23,23,6,138,2016,3,2,6,49
kaggle/1_6_T_1,2,30,167,,2,10,7,13,50,836,8,7,10,44,780,2,3,6,56
kaggle/1_6_X_1,1,18,81,medium,1,23,20,5,66,666,20,20,3,60,596,3,2,6,70
kaggle/1_6_X_2,1,34,139,hard,2,43,20,8,126,1147,40,20,6,120,1078,3,2,6,69
kaggle/1_6_X_3,1,34,200,,2,42,20,9,144,1203,40,20,7,140,1150,2,2,4,53
kaggle/2_1_T_1,1,58,268,,2,26,14,25,230,3129,22,14,20,210,2760,4,5,20,369
kaggle/2_1_T_2,1,40,168,,2,23,14,33,223,2886,22,14,20,210,2760,1,13,13,126
kaggle/2_1_X_1,1,52,349,,2,42,20,11,184,1486,40,20,9,180,1442,2,2,4,44
kaggle/2_1_X_2,1,63,386,,2,43,20,14,246,1579,40,20,12,240,1480,3,2,6,99
kaggle/2_1_X_3,1,60,342,,3,56,31,20,290,2247,53,31,16,278,2144,3,4,12,103
